label,conyuemp,segmento,indrel_1mes,indfall,indrel,sexo,tipodom,ind_empleado,canal_entrada,indext,ind_actividad_cliente,indresi,pais_residencia,ind_nuevo,tiprel_1mes,age,antiguedad,renta,ind_ahor_fin_ult1,ind_aval_fin_ult1,ind_cco_fin_ult1,ind_cder_fin_ult1,ind_cno_fin_ult1,ind_ctju_fin_ult1,ind_ctma_fin_ult1,ind_ctop_fin_ult1,ind_ctpp_fin_ult1,ind_deco_fin_ult1,ind_deme_fin_ult1,ind_dela_fin_ult1,ind_ecue_fin_ult1,ind_fond_fin_ult1,ind_hip_fin_ult1,ind_plan_fin_ult1,ind_pres_fin_ult1,ind_reca_fin_ult1,ind_tjcr_fin_ult1,ind_valo_fin_ult1,ind_viv_fin_ult1,ind_nomina_ult1,ind_nom_pens_ult1,ind_recibo_ult1
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,1,0.0857,0.1328,0.083792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,1,2,1,1,0,0,2,0.0714,0.1328,0.104223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,1,2,1,1,0,0,2,0.0857,0.1328,0.049378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,1,1,2,0,0,1,1,1,2,1,1,0,0,2,0.0857,0.1328,0.049378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,1,2,0,1,0,0,1,0.0429,0.1328,0.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,1,0.0429,0.1328,0.018326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,2,1,0,1,0,0,1,0.1429,0.1328,0.017638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,4,2,1,1,0,0,2,0.0857,0.1328,0.109245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,1,0.0429,0.1328,0.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,2,0,1,1,1,1,2,1,1,0,0,2,0.1429,0.1328,0.023889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,1,1,2,0,1,1,1,1,2,1,1,0,0,2,0.1429,0.1328,0.023889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,1,1,2,0,1,1,1,1,2,1,1,0,0,2,0.1429,0.1328,0.023889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,1,2,0,0,1,1,4,2,0,1,0,0,1,0.2857,0.1328,0.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,1,1,0,0,2,0.0429,0.1328,0.023915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,1,1,2,0,1,1,1,1,2,1,1,0,0,2,0.0429,0.1328,0.023915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,1,1,0,0,2,0.0857,0.1328,0.055279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,1,0.0571,0.1328,0.033074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,1,0.0714,0.1328,0.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,1,2,1,1,0,0,2,0.1143,0.1328,0.040373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,1,2,1,1,0,0,1,0.0429,0.1328,0.023177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,1,0.0714,0.1328,0.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,2,0,0,1,1,4,2,1,1,0,0,2,0.4286,0.1328,0.045427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,2,0,0,1,1,4,2,1,1,0,0,2,0.4286,0.1328,0.045427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,1,0.0714,0.1328,0.040607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,2,0,0,1,1,1,2,1,1,0,0,2,0.0286,0.1328,0.028974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,1,1,2,0,0,1,1,1,2,1,1,0,0,2,0.0286,0.1328,0.028974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,1,1,2,0,0,1,1,1,2,1,1,0,0,2,0.0286,0.1328,0.028974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,1,1,2,0,0,1,1,1,2,1,1,0,0,2,0.0286,0.1328,0.028974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,1,2,0,1,0,0,1,0.0857,0.1328,0.028601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,2,0.0429,0.1328,0.075426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,1,2,0,1,0,0,1,0.0571,0.1328,0.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,1,2,0,1,0,0,1,0.1429,0.1328,0.076803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,1,2,0,1,0,0,1,0.0429,0.1328,0.017756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,1,2,0,1,0,0,1,0.0429,0.1328,0.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,4,2,1,1,0,0,2,0.1714,0.1328,0.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,1,2,0,0,1,1,4,2,1,1,0,0,2,0.1714,0.1328,0.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,1,1,2,0,0,1,1,4,2,1,1,0,0,2,0.1714,0.1328,0.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,2,0,1,1,1,1,2,1,1,0,0,2,0.6857,0.1328,0.057899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,1,0,1,0,0,1,0.0857,0.1328,0.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,1,2,0,1,0,0,1,0.1143,0.1328,0.042818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,2,0,1,1,1,1,2,0,1,0,0,1,0.2143,0.1328,0.05252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,1,0.0714,0.1328,0.086016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,1,1,0,0,2,0.0429,0.1328,0.019826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,1,0.1143,0.1328,0.029626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,1,1,0,0,1,0.0571,0.1328,0.043606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,1,1,0,1,0,0,1,0.0286,0.1328,0.025111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,1,0.1429,0.1328,0.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,1,0.0429,0.1328,0.087375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,1,0.0857,0.1328,0.0347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,1,2,0,1,0,0,1,0.1143,0.1328,0.036492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,1,0.0714,0.1328,0.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,1,1,0,0,1,0.0429,0.1328,0.047655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,1,0.0857,0.1328,0.55636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,2,0,1,1,1,3,2,1,1,0,0,2,0.0,0.1328,0.113347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,1,1,1,1,2,0,1,0,0,1,0.0857,0.1328,0.084778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,2,0,0,1,1,1,2,0,1,0,0,1,0.0429,0.1328,0.037024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,2,0,0,1,1,1,1,1,1,0,0,2,0.2429,0.1328,0.046323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
